date,country,total_cases,new_cases,total_deaths,new_deaths,total_tests,population,aged_65_older,aged_70_older
19jun2020,1,12306,49,280,0,1136873,51269183,13.914,8.6219997
20jun2020,1,12373,67,280,0,1149431,51269183,13.914,8.6219997
21jun2020,1,12421,48,280,0,1156392,51269183,13.914,8.6219997
22jun2020,1,12438,17,280,0,1162663,51269183,13.914,8.6219997
23jun2020,1,12484,46,281,1,1173734,51269183,13.914,8.6219997
24jun2020,1,12535,51,281,0,1188352,51269183,13.914,8.6219997
25jun2020,1,12563,28,282,1,1201578,51269183,13.914,8.6219997
26jun2020,1,12602,39,282,0,1213487,51269183,13.914,8.6219997
27jun2020,1,12653,51,282,0,1223914,51269183,13.914,8.6219997
28jun2020,1,12715,62,282,0,1232690,51269183,13.914,8.6219997
29jun2020,1,12757,42,282,0,1241455,51269183,13.914,8.6219997
30jun2020,1,12800,43,282,0,1252957,51269183,13.914,8.6219997
01jul2020,1,12850,50,282,0,1265705,51269183,13.914,8.6219997
02jul2020,1,12904,54,282,0,1276180,51269183,13.914,8.6219997
03jul2020,1,12967,63,282,0,1286201,51269183,13.914,8.6219997
04jul2020,1,13030,63,283,1,1297202,51269183,13.914,8.6219997
05jul2020,1,13091,61,283,0,,51269183,13.914,8.6219997
06jul2020,1,13091,0,283,0,1310504,51269183,13.914,8.6219997
07jul2020,1,13181,90,285,2,1322519,51269183,13.914,8.6219997
08jul2020,1,13244,63,285,0,1335723,51269183,13.914,8.6219997
09jul2020,1,13293,49,287,2,1347859,51269183,13.914,8.6219997
10jul2020,1,13338,45,288,1,1361363,51269183,13.914,8.6219997
11jul2020,1,13373,35,288,0,,51269183,13.914,8.6219997
12jul2020,1,13417,44,289,1,1380314,51269183,13.914,8.6219997
13jul2020,1,13479,62,289,0,1386467,51269183,13.914,8.6219997
14jul2020,1,13512,33,289,0,1396327,51269183,13.914,8.6219997
15jul2020,1,13551,39,289,0,1408019,51269183,13.914,8.6219997
16jul2020,1,13612,61,291,2,1417944,51269183,13.914,8.6219997
17jul2020,1,13672,60,293,2,1427907,51269183,13.914,8.6219997
18jul2020,1,13711,39,294,1,1437281,51269183,13.914,8.6219997
19jul2020,1,13745,34,295,1,1443346,51269183,13.914,8.6219997
20jul2020,1,13771,26,296,1,1448891,51269183,13.914,8.6219997
21jul2020,1,13816,45,296,0,1458526,51269183,13.914,8.6219997
22jul2020,1,13879,63,297,1,1470320,51269183,13.914,8.6219997
23jul2020,1,13938,59,297,0,1479436,51269183,13.914,8.6219997
24jul2020,1,13979,41,298,1,1489768,51269183,13.914,8.6219997
25jul2020,1,14092,113,298,0,1498953,51269183,13.914,8.6219997
26jul2020,1,14150,58,298,0,1503712,51269183,13.914,8.6219997
27jul2020,1,14175,25,299,1,1508204,51269183,13.914,8.6219997
28jul2020,1,14203,28,300,1,1517260,51269183,13.914,8.6219997
29jul2020,1,14251,48,300,0,1527981,51269183,13.914,8.6219997
30jul2020,1,14269,18,300,0,1537197,51269183,13.914,8.6219997
31jul2020,1,14305,36,301,1,1545466,51269183,13.914,8.6219997
01aug2020,1,14336,31,301,0,1553552,51269183,13.914,8.6219997
02aug2020,1,14336,0,301,0,1558478,51269183,13.914,8.6219997
03aug2020,1,14389,53,301,0,1562356,51269183,13.914,8.6219997
04aug2020,1,14423,34,301,0,1571056,51269183,13.914,8.6219997
05aug2020,1,14456,33,302,1,1579697,51269183,13.914,8.6219997
06aug2020,1,14499,43,302,0,1588456,51269183,13.914,8.6219997
07aug2020,1,14519,20,303,1,1596584,51269183,13.914,8.6219997
08aug2020,1,14562,43,304,1,1604409,51269183,13.914,8.6219997
09aug2020,1,14598,36,305,1,1607847,51269183,13.914,8.6219997
10aug2020,1,14626,28,305,0,1611907,51269183,13.914,8.6219997
11aug2020,1,14660,34,305,0,1620355,51269183,13.914,8.6219997
12aug2020,1,14714,54,305,0,1629277,51269183,13.914,8.6219997
13aug2020,1,14770,56,305,0,1637100,51269183,13.914,8.6219997
14aug2020,1,14873,103,305,0,1644952,51269183,13.914,8.6219997
15aug2020,1,15039,166,305,0,1653678,51269183,13.914,8.6219997
16aug2020,1,15318,279,305,0,1659782,51269183,13.914,8.6219997
17aug2020,1,15515,197,305,0,1665506,51269183,13.914,8.6219997
18aug2020,1,15761,246,306,1,1671823,51269183,13.914,8.6219997
19aug2020,1,16058,297,306,0,1684042,51269183,13.914,8.6219997
20aug2020,1,16346,288,307,1,1699085,51269183,13.914,8.6219997
21aug2020,1,16670,324,309,2,1716078,51269183,13.914,8.6219997
22aug2020,1,17002,332,309,0,1733373,51269183,13.914,8.6219997
23aug2020,1,17399,397,309,0,1743622,51269183,13.914,8.6219997
24aug2020,1,17665,266,309,0,1756427,51269183,13.914,8.6219997
25aug2020,1,17945,280,310,1,1775475,51269183,13.914,8.6219997
26aug2020,1,18265,320,312,2,1796711,51269183,13.914,8.6219997
27aug2020,1,18706,441,313,1,1817538,51269183,13.914,8.6219997
28aug2020,1,19077,371,316,3,1837006,51269183,13.914,8.6219997
