"period","county","S_t","I_t","R_t","D_t","hours_st","hours_it","hours_rt","policy_var","c_st","c_it","c_rt","val_st","val_it","val_rt","Gamma_t","lambda_sbt","lambda_tau_t","C_cty","hours_cty","S_Agg","I_Agg","C_Agg","D_Agg","R_Agg","hours_Agg","S_baseline","I_baseline","C_baseline","hours_baseline"
38,2,0.864374773299052,0.0215144781596751,0.11296964105586,0.00114110748541273,0.315405441485445,0.333333333333333,0.333333333333333,0,3.15405441485445,2.66666666666667,3.33333333333333,1807.3974497859,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.302300157396376,-13.8989469300222,3.16022248175802,0.317456546719781,0.845723592095794,0.0240485491155158,3.14839934387141,0.00130227858788691,0.128925580200804,0.316443170994842,0.622959813837118,0.0439936388324428,3.06324473424747,0.309257382680244
38,3,0.857157939749551,0.0225244320771463,0.119114451891569,0.00120317628173302,0.31476715369568,0.333333333333333,0.333333333333333,0,3.1476715369568,2.66666666666667,3.33333333333333,1807.2550170199,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.302402004926839,-13.7626691171125,3.15516497480381,0.317018126285524,0.845723592095794,0.0240485491155158,3.14839934387141,0.00130227858788691,0.128925580200804,0.316443170994842,0.622959813837118,0.0439936388324428,3.06324473424747,0.309257382680244
38,4,0.850826031381217,0.0233942232418565,0.124521947923157,0.00125779745376926,0.314229203503613,0.333333333333333,0.333333333333333,0,3.14229203503613,2.66666666666667,3.33333333333333,1807.13393977696,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.302488982650832,-13.6468696514627,3.15100161666607,0.316659776549398,0.845723592095794,0.0240485491155158,3.14839934387141,0.00130227858788691,0.128925580200804,0.316443170994842,0.622959813837118,0.0439936388324428,3.06324473424747,0.309257382680244
38,5,0.845365324479799,0.0241321914270006,0.129197459252268,0.001305024840932,0.313781298685175,0.333333333333333,0.333333333333333,0,3.13781298685175,2.66666666666667,3.33333333333333,1807.03221971252,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.302562203503197,-13.549612541424,3.14760900176642,0.316369712938442,0.845723592095794,0.0240485491155158,3.14839934387141,0.00130227858788691,0.128925580200804,0.316443170994842,0.622959813837118,0.0439936388324428,3.06324473424747,0.309257382680244
38,6,0.840764121047779,0.0247453309562527,0.133145642516009,0.00134490547995968,0.313415100134317,0.333333333333333,0.333333333333333,0,3.13415100134317,2.66666666666667,3.33333333333333,1806.94832731729,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.302622615658198,-13.4694187967275,3.14488806947868,0.316138495678284,0.845723592095794,0.0240485491155158,3.14839934387141,0.00130227858788691,0.128925580200804,0.316443170994842,0.622959813837118,0.0439936388324428,3.06324473424747,0.309257382680244
38,7,0.837012645386018,0.0252394010976695,0.13637047398115,0.00137747953516313,0.313123942306923,0.333333333333333,0.333333333333333,0,3.13123942306923,2.66666666666667,3.33333333333333,1806.88109389543,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.302671004334198,-13.4051601434974,3.14276030903778,0.315958657643623,0.845723592095794,0.0240485491155158,3.14839934387141,0.00130227858788691,0.128925580200804,0.316443170994842,0.622959813837118,0.0439936388324428,3.06324473424747,0.309257382680244
38,8,0.834102968529321,0.0256190122895134,0.138875238989354,0.00140278019181165,0.312902636670759,0.333333333333333,0.333333333333333,0,3.1290263667076,2.66666666666667,3.33333333333333,1806.82963852689,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.302707981954005,-13.3559872714207,3.14116501048054,0.315824435200688,0.845723592095794,0.0240485491155158,3.14839934387141,0.00130227858788691,0.128925580200804,0.316443170994842,0.622959813837118,0.0439936388324428,3.06324473424747,0.309257382680244
38,9,0.832028977780556,0.0258876846256665,0.14066250421784,0.00142083337593778,0.312747251940269,0.333333333333333,0.333333333333333,0,3.12747251940269,2.66666666666667,3.33333333333333,1806.79331875132,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.302734062308524,-13.3212814300745,3.14005660308331,0.315731505950042,0.845723592095794,0.0240485491155158,3.14839934387141,0.00130227858788691,0.128925580200804,0.316443170994842,0.622959813837118,0.0439936388324428,3.06324473424747,0.309257382680244
38,10,0.830786316316311,0.0260479038488696,0.141734122036471,0.0014316577983482,0.312655092839829,0.333333333333333,0.333333333333333,0,3.12655092839829,2.66666666666667,3.33333333333333,1806.77169645219,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.302749567714815,-13.300621011883,3.13940387896458,0.315676914819716,0.845723592095794,0.0240485491155158,3.14839934387141,0.00130227858788691,0.128925580200804,0.316443170994842,0.622959813837118,0.0439936388324428,3.06324473424747,0.309257382680244
38,11,0.830372384743842,0.026101146723459,0.142091203847372,0.00143526468532699,0.312624548246305,0.333333333333333,0.333333333333333,0,3.12624548246305,2.66666666666667,3.33333333333333,1806.76451690674,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.302754714664414,-13.2937610214157,3.13918832065464,0.315658908513694,0.845723592095794,0.0240485491155158,3.14839934387141,0.00130227858788691,0.128925580200804,0.316443170994842,0.622959813837118,0.0439936388324428,3.06324473424747,0.309257382680244
38,12,0.830786316283201,0.0260479038529365,0.141734122065224,0.00143165779863863,0.312655092791803,0.333333333333333,0.333333333333333,0,3.12655092791803,2.66666666666667,3.33333333333333,1806.77169645123,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.302749567762496,-13.3006210109338,3.13940387856875,0.315676914780404,0.845723592095794,0.0240485491155158,3.14839934387141,0.00130227858788691,0.128925580200804,0.316443170994842,0.622959813837118,0.0439936388324428,3.06324473424747,0.309257382680244
38,13,0.83202897777902,0.0258876846261159,0.140662504218915,0.00142083337594864,0.312747251940178,0.333333333333333,0.333333333333333,0,3.12747251940178,2.66666666666667,3.33333333333333,1806.7933187513,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.302734062308337,-13.3212814300623,3.14005660308253,0.315731505949994,0.845723592095794,0.0240485491155158,3.14839934387141,0.00130227858788691,0.128925580200804,0.316443170994842,0.622959813837118,0.0439936388324428,3.06324473424747,0.309257382680244
38,14,0.83410296846329,0.0256190123111808,0.138875239033273,0.00140278019225529,0.312902636876211,0.333333333333333,0.333333333333333,0,3.12902636876211,2.66666666666667,3.33333333333333,1806.82963852642,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.302707981730352,-13.3559872710525,3.14116501219178,0.315824435373257,0.845723592095794,0.0240485491155158,3.14839934387141,0.00130227858788691,0.128925580200804,0.316443170994842,0.622959813837118,0.0439936388324428,3.06324473424747,0.309257382680244
38,15,0.837012645306003,0.0252394011229368,0.136370474035349,0.0013774795357106,0.313123942495899,0.333333333333333,0.333333333333333,0,3.13123942495899,2.66666666666667,3.33333333333333,1806.88109389437,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.30267100412593,-13.4051601425473,3.14276031061704,0.315958657803233,0.845723592095794,0.0240485491155158,3.14839934387141,0.00130227858788691,0.128925580200804,0.316443170994842,0.622959813837118,0.0439936388324428,3.06324473424747,0.309257382680244
38,16,0.840764121023766,0.0247453309607889,0.13314564253529,0.00134490548015445,0.313415100168676,0.333333333333333,0.333333333333333,0,3.13415100168676,2.66666666666667,3.33333333333333,1806.94832731667,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.30262261562094,-13.4694187961252,3.14488806976867,0.316138495707586,0.845723592095794,0.0240485491155158,3.14839934387141,0.00130227858788691,0.128925580200804,0.316443170994842,0.622959813837118,0.0439936388324428,3.06324473424747,0.309257382680244
38,17,0.845365324482282,0.0241321914261556,0.129197459250646,0.00130502484091562,0.313781298667924,0.333333333333333,0.333333333333333,0,3.13781298667924,2.66666666666667,3.33333333333333,1807.0322197126,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.302562203521194,-13.5496125414993,3.14760900162072,0.316369712923815,0.845723592095794,0.0240485491155158,3.14839934387141,0.00130227858788691,0.128925580200804,0.316443170994842,0.622959813837118,0.0439936388324428,3.06324473424747,0.309257382680244
38,18,0.850826031401067,0.0233942232356153,0.124521947909685,0.00125779745363318,0.314229203430695,0.333333333333333,0.333333333333333,0,3.14229203430695,2.66666666666667,3.33333333333333,1807.13393977758,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.302488982728197,-13.6468696520562,3.15100161604649,0.316659776487023,0.845723592095794,0.0240485491155158,3.14839934387141,0.00130227858788691,0.128925580200804,0.316443170994842,0.622959813837118,0.0439936388324428,3.06324473424747,0.309257382680244
38,19,0.857157939749513,0.0225244320771701,0.119114451891583,0.00120317628173317,0.314767153689113,0.333333333333333,0.333333333333333,0,3.14767153689113,2.66666666666667,3.33333333333333,1807.25501701996,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.30240200493338,-13.7626691171762,3.15516497474751,0.317018126279896,0.845723592095794,0.0240485491155158,3.14839934387141,0.00130227858788691,0.128925580200804,0.316443170994842,0.622959813837118,0.0439936388324428,3.06324473424747,0.309257382680244
38,20,0.86437477329647,0.0215144781604141,0.112969641057684,0.00114110748543115,0.315405441488743,0.333333333333333,0.333333333333333,0,3.15405441488743,2.66666666666667,3.33333333333333,1807.39744978591,1793.63785826278,1812.31637860317,4.44089209850063e-16,0.302300157392539,-13.8989469300367,3.16022248178644,0.317456546722671,0.845723592095794,0.0240485491155158,3.14839934387141,0.00130227858788691,0.128925580200804,0.316443170994842,0.622959813837118,0.0439936388324428,3.06324473424747,0.309257382680244
